BveTs Vehicle Performance Table 2.01,,,,,
#,f,,,,
62,39.6,7510,17286.2,24414,34319.9
63,38,7298.3,16741.8,23806.4,33694.2
64,36.5,7095.7,16222.7,23223.2,33089.4
65,35.2,6901.7,15727.4,22662.9,32504.7
66,33.8,6715.9,15254.4,22124.5,31939
67,32.6,6537.8,14802.5,21606.6,31391.4
68,31.4,6366.9,14370.3,21108.3,30861.1
69,30.3,6202.9,13956.8,20628.5,30347.3
70,29.2,6045.4,13560.9,20166.3,29849.3
71,28.2,5894.1,13181.6,19720.7,29366.3
72,27.2,5748.5,12817.9,19291.1,28897.7
73,26.3,5608.5,12469.2,18876.5,28443
74,25.4,5473.8,12134.4,18476.3,28001.4
75,24.6,5344,11813,18089.8,27572.5
76,23.8,5219,11504.2,17716.3,27155.7
77,23,5098.4,11207.3,17355.3,26750.5
78,22.3,4982.2,10921.8,17006.1,26356.5
79,21.6,4870,10647,16668.3,25973.2
80,20.9,4761.8,10382.5,16341.4,25600.2
81,20.3,4657.2,10127.8,16024.7,25237
82,19.7,4556.1,9882.2,15718,24883.4
83,19.1,4458.5,9645.6,15420.8,24539
84,18.5,4364.1,9417.3,15132.7,24203.3
85,18,4272.7,9197,14853.2,23876.2
86,17.5,4184.3,8984.3,14582.1,23557.2
87,17,4098.7,8779,14319,23246
88,16.5,4015.8,8580.6,14063.5,22942.5
89,16,3935.5,8388.9,13815.5,22646.3
90,15.6,3857.7,8203.5,13574.5,22357.2
91,15.2,3782.3,8024.2,13340.3,22074.9
92,14.7,3709.1,7850.7,13112.6,21799.2
93,14.4,3638.1,7682.8,12891.2,21529.8
94,14,3569.2,7520.2,12675.9,21266.7
95,13.6,3502.3,7362.7,12466.4,21009.4
96,13.3,3437.4,7210.1,12262.5,20757.9
97,12.9,3374.3,7062.2,12063.9,20512
98,12.6,3313,6918.8,11870.6,20271.5
99,12.3,3253.4,6779.7,11682.3,20036.2
100,12,3195.5,6644.8,11498.9,19806
101,11.7,3139.2,6513.9,11320.1,19580.6
102,11.4,3084.4,6386.8,11145.8,19360
103,11.1,3031.1,6263.4,10975.8,19144
104,10.9,2979.2,6143.5,10810,18932.5
105,10.6,2928.6,6027,10648.3,18725.3
106,10.4,2879.4,5913.9,10490.5,18522.3
107,10.1,2831.5,5803.8,10336.5,18323.3
108,9.9,2784.8,5696.9,10186.2,18128.4
109,9.7,2739.3,5592.8,10039.4,17937.2
110,9.4,2694.9,5491.6,9896,17749.8
111,9.2,2651.7,5393.1,9756,17566.1
112,9,2609.5,5297.2,9619.1,17385.8
113,8.8,2568.4,5203.9,9485.4,17209
114,8.6,2528.3,5113,9354.7,17035.5
115,8.4,2489.1,5024.4,9226.9,16865.3
116,8.3,2450.9,4938.2,9101.9,16698.2
117,8.1,2413.6,4854.1,8979.7,16534.2
118,7.9,2377.1,4772.2,8860.1,16373.1
119,7.8,2341.5,4692.3,8743.2,16215
120,7.6,2306.8,4614.5,8628.7,16059.7
121,7.4,2272.8,4538.5,8516.6,15907.2
122,7.3,2239.6,4464.4,8406.9,15757.3
123,7.1,2207.2,4392.1,8299.5,15610.1
124,7,2175.4,4321.6,8194.4,15465.4
125,6.9,2144.4,4252.7,8091.4,15323.2
126,6.7,2114.1,4185.5,7990.5,15183.4
127,6.6,2084.4,4119.8,7891.6,15046
128,6.5,2055.4,4055.7,7794.7,14910.9
129,6.3,2027,3993,7699.7,14778.1
130,6.2,1999.2,3931.8,7606.7,14647.4
131,6.1,1972,3872,7515.4,14518.9
132,6,1945.4,3813.6,7425.9,14392.5
133,5.9,1919.4,3756.5,7338.2,14268.1
134,5.8,1893.8,3700.6,7252.1,14145.7
135,5.7,1868.8,3646,7167.7,14025.3
136,5.6,1844.3,3592.6,7084.9,13906.8
137,5.5,1820.3,3540.3,7003.6,13790.1
138,5.4,1796.8,3489.2,6923.8,13675.2
139,5.3,1773.8,3439.2,6845.5,13562.2
140,5.2,1751.2,3390.2,6768.7,13450.8
141,5.1,1729.1,3342.3,6693.2,13341.2
142,5,1707.4,3295.4,6619.1,13233.2
143,4.9,1686.1,3249.5,6546.4,13126.8
144,4.8,1665.2,3204.5,6474.9,13022
145,4.7,1644.7,3160.4,6404.7,12918.8
146,4.6,1624.6,3117.3,6335.8,12817.1
147,4.6,1604.9,3075,6268,12716.9
148,4.5,1585.6,3033.6,6201.4,12618.1
149,4.4,1566.6,2993,6136,12520.8
150,4.3,1548,2953.3,6071.7,12424.9
