BveTs Vehicle Performance Table 2.01,,,,,
#,f,,,,
62,60.9,11640.2,26834.5,37914.1,53316.1
63,58.5,11312,25989.4,36970.5,52344.1
64,56.3,10998,25183.6,36064.8,51404.6
65,54.1,10697.4,24414.6,35194.8,50496.2
66,52.1,10409.4,23680.4,34358.6,49617.4
67,50.2,10133.3,22978.8,33554.4,48766.7
68,48.4,9868.5,22307.9,32780.5,47942.9
69,46.6,9614.3,21666,32035.4,47144.7
70,45,9370.2,21051.4,31317.5,46371
71,43.4,9135.6,20462.6,30625.6,45620.7
72,41.9,8910,19898.1,29958.4,44892.8
73,40.5,8693,19356.7,29314.6,44186.3
74,39.2,8484.1,18837.1,28693.1,43500.3
75,37.9,8283,18338.1,28092.8,42834
76,36.6,8089.2,17858.7,27512.9,42186.5
77,35.4,7902.4,17397.8,26952.2,41557.1
78,34.3,7722.2,16954.6,26410,40944.9
79,33.2,7548.3,16528.1,25885.4,40349.5
80,32.2,7380.5,16117.5,25377.6,39770
81,31.2,7218.4,15722,24885.9,39205.9
82,30.3,7061.8,15340.8,24409.6,38656.6
83,29.4,6910.5,14973.4,23948,38121.4
84,28.5,6764.1,14619,23500.5,37600
85,27.7,6622.5,14277.1,23066.5,37091.8
86,26.9,6485.5,13947,22645.5,36596.2
87,26.1,6352.9,13628.2,22236.9,36112.9
88,25.4,6224.4,13320.2,21840.2,35641.3
89,24.7,6099.9,13022.6,21455,35181.2
90,24,5979.3,12734.8,21080.7,34732
91,23.3,5862.4,12456.4,20717,34293.5
92,22.7,5749,12187.1,20363.4,33865.2
93,22.1,5638.9,11926.4,20019.7,33446.7
94,21.5,5532.1,11674,19685.2,33037.9
95,21,5428.5,11429.6,19359.9,32638.3
96,20.4,5327.8,11192.7,19043.2,32247.6
97,19.9,5230,10963.1,18734.9,31865.6
98,19.4,5135,10740.5,18434.7,31491.9
99,18.9,5042.7,10524.6,18142.3,31126.4
100,18.4,4952.9,10315.2,17857.4,30768.7
101,18,4865.6,10111.9,17579.7,30418.6
102,17.6,4780.6,9914.6,17309,30075.9
103,17.1,4698,9723.1,17045.1,29740.4
104,16.7,4617.6,9537,16787.6,29411.7
105,16.3,4539.2,9356.2,16536.5,29089.8
106,15.9,4463,9180.5,16291.5,28774.5
107,15.6,4388.7,9009.7,16052.3,28465.4
108,15.2,4316.3,8843.6,15818.8,28162.5
109,14.9,4245.8,8682.1,15590.9,27865.6
110,14.5,4177.1,8524.9,15368.2,27574.5
111,14.2,4110,8372,15150.7,27289
112,13.9,4044.7,8223.2,14938.2,27009
113,13.6,3980.9,8078.3,14730.5,26734.3
114,13.3,3918.7,7937.2,14527.5,26464.8
115,13,3858,7799.8,14329.1,26200.3
116,12.7,3798.7,7665.9,14135,25940.7
117,12.5,3740.9,7535.4,13945.2,25685.9
118,12.2,3684.4,7408.2,13759.5,25435.8
119,11.9,3629.3,7284.2,13577.8,25190.1
120,11.7,3575.4,7163.3,13400.1,24948.9
121,11.5,3522.7,7045.4,13226.1,24711.9
122,11.2,3471.3,6930.4,13055.7,24479.1
123,11,3421,6818.2,12888.9,24250.4
124,10.8,3371.8,6708.6,12725.6,24025.6
125,10.6,3323.8,6601.7,12565.6,23804.7
126,10.3,3276.8,6497.3,12408.9,23587.6
127,10.1,3230.8,6395.4,12255.4,23374.1
128,9.9,3185.8,6295.9,12104.9,23164.2
129,9.8,3141.8,6198.7,11957.4,22957.8
130,9.6,3098.7,6103.7,11812.9,22754.9
131,9.4,3056.6,6010.8,11671.2,22555.2
132,9.2,3015.3,5920.1,11532.2,22358.8
133,9,2974.9,5831.4,11396,22165.6
134,8.9,2935.3,5744.7,11262.3,21975.5
135,8.7,2896.6,5659.9,11131.2,21788.4
136,8.6,2858.6,5577,11002.6,21604.3
137,8.4,2821.4,5495.9,10876.3,21423
138,8.2,2785,5416.5,10752.5,21244.6
139,8.1,2749.3,5338.8,10630.9,21068.9
140,8,2714.3,5262.8,10511.5,20895.9
141,7.8,2680,5188.5,10394.3,20725.6
142,7.7,2646.3,5115.6,10279.3,20557.8
143,7.5,2613.3,5044.3,10166.3,20392.6
144,7.4,2581,4974.5,10055.3,20229.8
145,7.3,2549.3,4906.2,9946.3,20069.5
146,7.2,2518.1,4839.2,9839.2,19911.5
147,7,2487.6,4773.6,9734,19755.8
148,6.9,2457.6,4709.3,9630.6,19602.4
149,6.8,2428.2,4646.3,9529,19451.1
150,6.7,2399.4,4584.5,9429.2,19302.1
